date,row_id,row_name,total_list_size
2021-03-01,00L,NHS NORTHUMBERLAND,330624
2021-03-01,00N,NHS SOUTH TYNESIDE,158311
2021-03-01,00P,NHS SUNDERLAND,284234
2021-03-01,00Q,NHS BLACKBURN WITH DARWEN,179447
2021-03-01,00R,NHS BLACKPOOL,174961
2021-03-01,00T,NHS BOLTON,316944
2021-03-01,00V,NHS BURY,207312
2021-03-01,00X,NHS CHORLEY AND SOUTH RIBBLE,186806
2021-03-01,00Y,NHS OLDHAM,260726
2021-03-01,01A,NHS EAST LANCASHIRE,390813
2021-03-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",239629
2021-03-01,01E,NHS GREATER PRESTON,216325
2021-03-01,01F,NHS HALTON,134055
2021-03-01,01G,NHS SALFORD,288478
2021-03-01,01H,NHS NORTH CUMBRIA,326623
2021-03-01,01J,NHS KNOWSLEY,168383
2021-03-01,01K,NHS MORECAMBE BAY,351491
2021-03-01,01T,NHS SOUTH SEFTON,156451
2021-03-01,01V,NHS SOUTHPORT AND FORMBY,125437
2021-03-01,01W,NHS STOCKPORT,317457
2021-03-01,01X,NHS ST HELENS,199142
2021-03-01,01Y,NHS TAMESIDE AND GLOSSOP,218428
2021-03-01,02A,NHS TRAFFORD,243467
2021-03-01,02E,NHS WARRINGTON,220529
2021-03-01,02G,NHS WEST LANCASHIRE,113857
2021-03-01,02H,NHS WIGAN BOROUGH,334533
2021-03-01,02M,NHS FYLDE AND WYRE,180366
2021-03-01,02P,NHS BARNSLEY,264044
2021-03-01,02Q,NHS BASSETLAW,120078
2021-03-01,02T,NHS CALDERDALE,221907
2021-03-01,02X,NHS DONCASTER,325838
2021-03-01,02Y,NHS EAST RIDING OF YORKSHIRE,307004
2021-03-01,03F,NHS HULL,303104
2021-03-01,03H,NHS NORTH EAST LINCOLNSHIRE,170408
2021-03-01,03K,NHS NORTH LINCOLNSHIRE,182370
2021-03-01,03L,NHS ROTHERHAM,264710
2021-03-01,03N,NHS SHEFFIELD,615273
2021-03-01,03Q,NHS VALE OF YORK,249665
2021-03-01,03R,NHS WAKEFIELD,384819
2021-03-01,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,343270
2021-03-01,04C,NHS LEICESTER CITY,421602
2021-03-01,04V,NHS WEST LEICESTERSHIRE,403588
2021-03-01,04Y,NHS CANNOCK CHASE,135406
2021-03-01,05D,NHS EAST STAFFORDSHIRE,146108
2021-03-01,05G,NHS NORTH STAFFORDSHIRE,217340
2021-03-01,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,215900
2021-03-01,05V,NHS STAFFORD AND SURROUNDS,150624
2021-03-01,05W,NHS STOKE ON TRENT,296222
