actual_cost,date,items,quantity,row_id,row_name
4894995.14,2021-03-01,738312,55076671.599999994,00L,NHS NORTHUMBERLAND
2558875.09,2021-03-01,376146,27858759.8,00N,NHS SOUTH TYNESIDE
4402168.34,2021-03-01,773348,46757988.3,00P,NHS SUNDERLAND
2394119.19,2021-03-01,310561,23321370.6,00Q,NHS BLACKBURN WITH DARWEN
2903234.99,2021-03-01,414514,27514848.100000005,00R,NHS BLACKPOOL
4472116.38,2021-03-01,535918,48046499.199999996,00T,NHS BOLTON
2953996.68,2021-03-01,337507,31435684.5,00V,NHS BURY
2494664.04,2021-03-01,294282,24355094.2,00X,NHS CHORLEY AND SOUTH RIBBLE
3729198.61,2021-03-01,450856,42174612.599999994,00Y,NHS OLDHAM
5412914.79,2021-03-01,708833,47465884.5,01A,NHS EAST LANCASHIRE
3617711.84,2021-03-01,400641,40966761.1,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2701249.39,2021-03-01,347234,29018737.7,01E,NHS GREATER PRESTON
2082103.59,2021-03-01,240445,23035886.9,01F,NHS HALTON
3810088.86,2021-03-01,527331,41770010.1,01G,NHS SALFORD
4950181.7,2021-03-01,636375,47130866.8,01H,NHS NORTH CUMBRIA
2755333.42,2021-03-01,354966,32811452.4,01J,NHS KNOWSLEY
4727055.34,2021-03-01,634151,46095317.5,01K,NHS MORECAMBE BAY
2544700.11,2021-03-01,333754,32554953.5,01T,NHS SOUTH SEFTON
2053771.11,2021-03-01,268241,21185702.4,01V,NHS SOUTHPORT AND FORMBY
4468676.29,2021-03-01,560332,47366295.699999996,01W,NHS STOCKPORT
3438787.07,2021-03-01,433866,37438561.9,01X,NHS ST HELENS
3506974.53,2021-03-01,426386,36621417.8,01Y,NHS TAMESIDE AND GLOSSOP
3238538.61,2021-03-01,427921,33894563.6,02A,NHS TRAFFORD
3049871.36,2021-03-01,340845,29586405.1,02E,NHS WARRINGTON
1665460.89,2021-03-01,196361,18375844.7,02G,NHS WEST LANCASHIRE
5576389.38,2021-03-01,607570,61591077.699999996,02H,NHS WIGAN BOROUGH
2949096.79,2021-03-01,412570,27115798.4,02M,NHS FYLDE AND WYRE
4266300.56,2021-03-01,657265,44492167.6,02P,NHS BARNSLEY
1841552.75,2021-03-01,253612,17526694.6,02Q,NHS BASSETLAW
3123368.22,2021-03-01,418248,32687603.099999998,02T,NHS CALDERDALE
5160793.88,2021-03-01,668429,49385807.3,02X,NHS DONCASTER
4927606.47,2021-03-01,644626,49697723.7,02Y,NHS EAST RIDING OF YORKSHIRE
4306354.74,2021-03-01,599621,48921244.9,03F,NHS HULL
2438771.72,2021-03-01,334137,26398346.599999998,03H,NHS NORTH EAST LINCOLNSHIRE
2972846.96,2021-03-01,410454,31329563.099999998,03K,NHS NORTH LINCOLNSHIRE
4004222.21,2021-03-01,552011,30675118.9,03L,NHS ROTHERHAM
8457023.58,2021-03-01,1166674,87612740.80000001,03N,NHS SHEFFIELD
2911795.5,2021-03-01,342659,27496396.4,03Q,NHS VALE OF YORK
5556167.75,2021-03-01,685049,58794301.900000006,03R,NHS WAKEFIELD
4544755.75,2021-03-01,545917,43500190.3,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
4502031.1,2021-03-01,581877,55829541.1,04C,NHS LEICESTER CITY
5170286.58,2021-03-01,673001,50989222.1,04V,NHS WEST LEICESTERSHIRE
