Chapter,Disorder_Group,Disorder,Sex,Region,Prevalence_Observed_%,Prevalence_AgeStd_%,Sample_n,CI_Lower_95_%,CI_Upper_95_%,CI_Width_pp,SE_%,Region_Population,Population_Weight,Source_Table
02,Common Mental Disorders,Generalised anxiety disorder,Men,North East,5.7,5.3,155.0,3.0101,10.5326,7.5225,1.919,2154854,0.048959420273917774,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,North West,6.4,6.4,422.0,4.4357,9.151,4.7153,1.2029,5790512,0.1315634890387767,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,Yorkshire & the Humber,4.5,4.7,273.0,2.6091,7.6536,5.0445,1.2869,4347165,0.09876988335871746,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,East Midlands,4.3,4.5,318.0,2.5631,7.1279,4.5648,1.1645,3782353,0.0859370565946991,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,West Midlands,4.4,4.5,343.0,2.6883,7.1218,4.4335,1.131,4599064,0.10449316159825463,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,East of England,5.5,5.8,348.0,3.5547,8.4171,4.8624,1.2404,4875281,0.1107689576335316,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,London,5.5,5.9,332.0,3.5182,8.4998,4.9816,1.2708,6806412,0.1546452732600154,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,South East,4.3,4.1,549.0,2.897,6.3381,3.4411,0.8778,7184102,0.1632265894156603,2.11
02,Common Mental Disorders,Generalised anxiety disorder,Men,South West,3.7,3.5,318.0,2.1176,6.3876,4.27,1.0893,4473319,0.10163616882642702,2.11
02,Common Mental Disorders,Depressive episode,Men,North East,1.5,1.6,155.0,0.4483,4.8976,4.4493,1.135,2154854,0.048959420273917774,2.11
02,Common Mental Disorders,Depressive episode,Men,North West,4.6,4.5,422.0,2.9782,7.0409,4.0627,1.0364,5790512,0.1315634890387767,2.11
02,Common Mental Disorders,Depressive episode,Men,Yorkshire & the Humber,3.3,3.3,273.0,1.7462,6.1498,4.4036,1.1234,4347165,0.09876988335871746,2.11
02,Common Mental Disorders,Depressive episode,Men,East Midlands,2.2,2.2,318.0,1.0695,4.4716,3.4021,0.8679,3782353,0.0859370565946991,2.11
02,Common Mental Disorders,Depressive episode,Men,West Midlands,3.0,2.9,343.0,1.6513,5.3898,3.7385,0.9537,4599064,0.10449316159825463,2.11
02,Common Mental Disorders,Depressive episode,Men,East of England,1.5,1.5,348.0,0.6535,3.4056,2.7521,0.7021,4875281,0.1107689576335316,2.11
02,Common Mental Disorders,Depressive episode,Men,London,3.0,3.2,332.0,1.6356,5.4396,3.804,0.9704,6806412,0.1546452732600154,2.11
02,Common Mental Disorders,Depressive episode,Men,South East,2.2,2.3,549.0,1.2651,3.7992,2.5341,0.6465,7184102,0.1632265894156603,2.11
02,Common Mental Disorders,Depressive episode,Men,South West,3.9,4.1,318.0,2.2648,6.6357,4.3709,1.115,4473319,0.10163616882642702,2.11
02,Common Mental Disorders,All phobias,Men,North East,0.9,0.7,155.0,0.1988,3.9761,3.7773,0.9636,2154854,0.048959420273917774,2.11
02,Common Mental Disorders,All phobias,Men,North West,1.8,1.8,422.0,0.8993,3.5703,2.671,0.6814,5790512,0.1315634890387767,2.11
02,Common Mental Disorders,All phobias,Men,Yorkshire & the Humber,1.9,2.1,273.0,0.8262,4.3087,3.4825,0.8884,4347165,0.09876988335871746,2.11
02,Common Mental Disorders,All phobias,Men,East Midlands,0.6,0.7,318.0,0.1603,2.219,2.0587,0.5252,3782353,0.0859370565946991,2.11
02,Common Mental Disorders,All phobias,Men,West Midlands,2.4,2.3,343.0,1.2324,4.622,3.3896,0.8647,4599064,0.10449316159825463,2.11
02,Common Mental Disorders,All phobias,Men,East of England,0.9,0.8,348.0,0.3131,2.5591,2.246,0.573,4875281,0.1107689576335316,2.11
02,Common Mental Disorders,All phobias,Men,London,2.5,2.4,332.0,1.2874,4.7992,3.5118,0.8959,6806412,0.1546452732600154,2.11
02,Common Mental Disorders,All phobias,Men,South East,1.5,1.6,549.0,0.7692,2.9048,2.1356,0.5448,7184102,0.1632265894156603,2.11
02,Common Mental Disorders,All phobias,Men,South West,2.4,2.4,318.0,1.2022,4.7341,3.5319,0.901,4473319,0.10163616882642702,2.11
02,Common Mental Disorders,Obsessive compulsive disorder,Men,North East,1.0,0.8,155.0,0.236,4.134,3.898,0.9944,2154854,0.048959420273917774,2.11
