ICB23NM,Referrals,Accessing,Recovery_Rate,Mean_Wait_Days,Waiting_Over90,Access_Rate,IMD_Score_Mean,IMD_Decile_Mean,n_LSOAs,Unmet_Need_Score,underserved
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",1965.0,1350.0,46.0,11.7,20.0,68.7,36.1567,6.8524,569,31.0,False
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2640.0,1390.0,47.0,35.3,265.0,52.65,46.4414,5.8552,587,54.17,False
NHS Birmingham and Solihull Integrated Care Board,4340.0,2645.0,48.0,19.7,400.0,60.94,67.4908,3.768,793,61.46,False
NHS Black Country Integrated Care Board,3025.0,1740.0,44.0,49.2,1115.0,57.52,64.4896,4.0443,723,73.44,True
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2255.0,1205.0,50.0,32.2,20.0,53.44,40.8421,6.3838,581,44.02,False
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",3785.0,2770.0,47.333333333333336,17.733333333333334,70.0,73.18,28.9767,7.5682,1056,21.47,False
NHS Cambridgeshire and Peterborough Integrated Care Board,2260.0,1590.0,47.0,22.2,1065.0,70.35,40.2927,6.4687,527,34.33,False
NHS Cheshire and Merseyside Integrated Care Board,7015.0,4405.0,44.666666666666664,19.38888888888889,725.0,62.79,53.5083,5.178,1601,53.1,False
NHS Cornwall and the Isles of Scilly Integrated Care Board,1280.0,725.0,53.0,25.3,20.0,56.64,57.8143,4.727,337,50.39,True
NHS Coventry and Warwickshire Integrated Care Board,2295.0,1450.0,47.0,13.2,55.0,63.18,47.0294,5.7846,557,42.73,False
NHS Derby and Derbyshire Integrated Care Board,3050.0,1455.0,50.0,23.3,55.0,47.7,49.5586,5.5376,651,53.16,False
NHS Devon Integrated Care Board,3110.0,1770.0,47.0,31.4,185.0,56.91,50.7174,5.4321,729,54.06,False
NHS Dorset Integrated Care Board,1830.0,1245.0,39.0,30.7,70.0,68.03,42.8621,6.2138,463,51.19,False
NHS Frimley Integrated Care Board,1835.0,1070.0,47.0,24.2,60.0,58.31,30.1304,7.4659,455,34.22,False
NHS Gloucestershire Integrated Care Board,1270.0,810.0,51.0,20.5,35.0,63.78,37.4662,6.7226,393,30.29,False
NHS Greater Manchester Integrated Care Board,12210.0,6045.0,42.9,38.980000000000004,2005.0,49.51,60.1235,4.49,1702,74.35,True
